district,distname,campus,campname,type,alt_ed,charter,county,total,mobility,low_inc,lep,sped,rating,yrs_ir
'057837,KIPP DALLAS-FORT WORTH,'057837101,KIPP DESTINY EL,E,N,Y,DALLAS,589,15.3,91.5,10,4.9,Met Standard,
'057837,KIPP DALLAS-FORT WORTH,'057837102,KIPP TRUTH EL,E,N,Y,DALLAS,465,16.7,95.9,32.9,6.7,Improvement Required,1
'057837,KIPP DALLAS-FORT WORTH,'057837103,KIPP PLEASANT GROVE PRI,E,N,Y,DALLAS,355,25.6,84.2,15.5,3.9,Not Rated,
'057839,LA ACADEMIA DE ESTRELLAS,'057839101,LA ACADEMIA DE ESTRELLAS,E,N,Y,DALLAS,1088,3.1,88.3,61.6,8.7,Met Standard,
'057840,RICHLAND COLLEGIATE HIGH SCHOOL,'057840001,RICHLAND COLLEGIATE H S OF MATH SC,S,N,Y,DALLAS,581,16.8,21.3,0,0.3,Met Standard,
'057841,CITYSCAPE SCHOOLS,'057841001,EAST GRAND PREPARATORY ACADEMY,E,N,Y,DALLAS,740,10,89.5,53.2,5.5,Met Standard,
'057844,MANARA ACADEMY,'057844001,MANARA LEADERSHIP ACADEMY,S,N,Y,DALLAS,149,24.2,58.4,38.3,10.1,Met Standard,
'057844,MANARA ACADEMY,'057844101,MANARA ACADEMY,E,N,Y,DALLAS,486,19.5,46.1,32.3,8.2,Met Standard,
'057844,MANARA ACADEMY,'057844102,MANARA STEM ACADEMY - ARLINGTON,E,N,Y,DALLAS,243,28.5,48.6,27.2,4.9,Met Standard,
'057845,UME PREPARATORY ACADEMY,'057845001,UME PREPARATORY ACADEMY,B,N,Y,DALLAS,570,8.7,19.5,3.5,4.4,Met Standard,
'057845,UME PREPARATORY ACADEMY,'057845002,UME PREPARATORY ACADEMY - DUNCANVI,E,N,Y,DALLAS,220,30.5,20.9,3.6,4.1,Met Standard,
'057846,LEGACY PREPARATORY,'057846001,LEGACY PREPARATORY CHARTER ACADEMY,B,N,Y,DALLAS,1052,15.3,68.9,41.4,6.6,Improvement Required,2
'057846,LEGACY PREPARATORY,'057846003,LEGACY PREPARATORY CHARTER ACADEMY,B,N,Y,DALLAS,341,33.3,45.5,15.8,10.6,Met Standard,
'057847,VILLAGE TECH SCHOOLS,'057847001,VILLAGE TECH SCHOOLS,B,N,Y,DALLAS,920,8.2,40.3,1.8,4.7,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848001,INTERNATIONAL LEADERSHIP OF TEXAS,E,N,Y,DALLAS,955,9.9,57.5,39.9,4.5,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848002,INTERNATIONAL LEADERSHIP OF TEXAS,M,N,Y,DALLAS,469,10.7,58,26.4,5.1,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848003,INTERNATIONAL LEADERSHIP OF TEXAS,S,N,Y,DALLAS,621,13.2,53.8,14.5,5.6,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848004,INTERNATIONAL LEADERSHIP OF TEXAS,E,N,Y,DALLAS,817,18.4,67.2,37.6,3.9,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848005,INTERNATIONAL LEADERSHIP OF TEXAS-,M,N,Y,DALLAS,390,19.1,71.8,32.3,6.2,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848006,INTERNATIONAL LEADERSHIP OF TEXAS,S,N,Y,DALLAS,509,20.5,57.8,17.7,4.7,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848007,INTERNATIONAL LEADERSHIP OF TEXAS,E,N,Y,DALLAS,956,10.8,25.9,15.1,4.6,Met Standard,
'057848,INTERNATIONAL LEADERSHIP OF TEXAS,'057848008,INTERNATIONAL LEADERSHIP OF TEXAS,M,N,Y,DALLAS,453,13.4,25.6,10.4,6.2,Met Standard,
